original_query,hour_of_day,month,week,day,hour,day_of_week,month_of_year,total_searches
kaptur parts,10,2020-03,2020-W10,2020-03-04,2020-03-04 10:00:00,Wednesday,March,1
hammock,0,2020-03,2020-W10,2020-03-03,2020-03-03 00:00:00,Tuesday,March,1
protocol,20,2020-03,2020-W10,2020-03-02,2020-03-02 20:00:00,Monday,March,1
air vert 1 motor,8,2020-03,2020-W09,2020-03-01,2020-03-01 08:00:00,Sunday,March,1
charger,13,2020-03,2020-W10,2020-03-05,2020-03-05 13:00:00,Thursday,March,1
app,20,2020-03,2020-W10,2020-03-06,2020-03-06 20:00:00,Friday,March,1
aura,17,2020-03,2020-W10,2020-03-04,2020-03-04 17:00:00,Wednesday,March,1
app,22,2020-02,2020-W09,2020-02-29,2020-02-29 22:00:00,Saturday,February,1
z 23,18,2020-03,2020-W10,2020-03-05,2020-03-05 18:00:00,Thursday,March,1
app,18,2020-03,2020-W10,2020-03-06,2020-03-06 18:00:00,Friday,March,1
helicopter 09a12,17,2020-02,2020-W09,2020-02-29,2020-02-29 17:00:00,Saturday,February,1
kaptur gear set,10,2020-03,2020-W10,2020-03-04,2020-03-04 10:00:00,Wednesday,March,1
serial,12,2020-02,2020-W09,2020-02-29,2020-02-29 12:00:00,Saturday,February,1
drone,21,2020-03,2020-W09,2020-03-01,2020-03-01 21:00:00,Sunday,March,1
gps 2 battery,19,2020-03,2020-W10,2020-03-05,2020-03-05 19:00:00,Thursday,March,1
aviator,11,2020-03,2020-W10,2020-03-06,2020-03-06 11:00:00,Friday,March,1
battery,18,2020-02,2020-W09,2020-02-29,2020-02-29 18:00:00,Saturday,February,1
